author,year,covidence_id,hyperactive,hypoactive,mixed,nosubtype,combo_hypomix,combo_hypermix,factor_category,factor,factor_details,test_used,test_subscale,data_type,direction,cont_units,test_cutoff,cutoff_notes,categorical_notes,N_with_condition,N_without_condition,percentage_with_condition,N_total,N_notes,average_type,average,variance_type,variance,range_type,range_ll,range_ul
Avelino-Silva,2018,3780,,1,,,,,comorbidity,chronic obstructive pulmonary disease,,,,cat,,,presence,,,40,,,348,,,,,,,,
Avelino-Silva,2018,3780,,1,,,,,comorbidity,cancer,,,,cat,,,presence,,,35,,,348,,,,,,,,
Balan,2003,3742,1,,,,,,,sex,,,,cat,,,male,,,3,,,7,,,,,,,,
Balan,2003,3742,1,,,,,,,age,,,,cont,,years,,,,,,,7,,mean,83.7,SD,7.9,,,
Balan,2003,3742,,,1,,,,,sex,,,,cat,,,male,,,6,,,14,,,,,,,,
Balan,2003,3742,,,1,,,,,age,,,,cont,,years,,,,,,,14,,mean,83.8,SD,7,,,
Balan,2003,3742,,1,,,,,,sex,,,,cat,,,male,,,4,,,10,,,,,,,,
Balan,2003,3742,,1,,,,,,age,,,,cont,,years,,,,,,,10,,mean,83,SD,7.5,,,
Kiely,2007,2149,,,,1,,,,age,,,,cont,,years,,,,,,,143,,mean,84.6,SD,7.6,,,
Kiely,2007,2149,,,,1,,,comorbidity,charlson,,Charlson Comorbidity Score (CCS),,cont,,score,,,,,,,143,,mean,2.5,SD,2.2,,,
Kiely,2007,2149,,,,1,,,,sex,,,,cat,,,female,,,,,69.9,143,,,,,,,,
Kiely,2007,2149,,,,1,,,,dementia,,"Dementia was defined as a positive response to the ‘‘Alzheimer’s disease’’ or ‘‘dementia’’ item on the
Charlson Comorbidity questionnaire or had an International Classification of Diseases, Ninth Revision (ICD-9-CM)
diagnostic code indicating the presence of dementia on medical record review",,cat,,,presence,,,,,31.5,143,,,,,,,,
Kiely,2007,2149,1,,,,,,,age,,,,cont,,years,,,,,,,47,,mean,83.1,SD,8.6,,,
Kiely,2007,2149,1,,,,,,comorbidity,charlson,,Charlson Comorbidity Score (CCS),,cont,,score,,,,,,,47,,mean,2.4,SD,2.4,,,
Kiely,2007,2149,1,,,,,,,sex,,,,cat,,,female,,,,,61.7,47,,,,,,,,
Kiely,2007,2149,1,,,,,,,dementia,,"Dementia was defined as a positive response to the ‘‘Alzheimer’s disease’’ or ‘‘dementia’’ item on the
Charlson Comorbidity questionnaire or had an International Classification of Diseases, Ninth Revision (ICD-9-CM)
diagnostic code indicating the presence of dementia on medical record review",,cat,,,presence,,,,,42.5,47,,,,,,,,
Kiely,2007,2149,,,1,,,,,age,,,,cont,,years,,,,,,,55,,mean,83.8,SD,7.2,,,
Kiely,2007,2149,,,1,,,,comorbidity,charlson,,Charlson Comorbidity Score (CCS),,cont,,score,,,,,,,55,,mean,2.5,SD,2,,,
Kiely,2007,2149,,,1,,,,,sex,,,,cat,,,female,,,,,56.4,55,,,,,,,,
Kiely,2007,2149,,,1,,,,,dementia,,"Dementia was defined as a positive response to the ‘‘Alzheimer’s disease’’ or ‘‘dementia’’ item on the
Charlson Comorbidity questionnaire or had an International Classification of Diseases, Ninth Revision (ICD-9-CM)
diagnostic code indicating the presence of dementia on medical record review",,cat,,,presence,,,,,47.3,55,,,,,,,,
Kiely,2007,2149,,1,,,,,,age,,,,cont,,years,,,,,,,212,,mean,83.9,SD,6.9,,,
Kiely,2007,2149,,1,,,,,comorbidity,charlson,,Charlson Comorbidity Score (CCS),,cont,,score,,,,,,,212,,mean,2.7,SD,2.5,,,
Kiely,2007,2149,,1,,,,,,sex,,,,cat,,,female,,,,,63.7,212,,,,,,,,
Kiely,2007,2149,,1,,,,,,dementia,,"Dementia was defined as a positive response to the ‘‘Alzheimer’s disease’’ or ‘‘dementia’’ item on the
Charlson Comorbidity questionnaire or had an International Classification of Diseases, Ninth Revision (ICD-9-CM)
diagnostic code indicating the presence of dementia on medical record review",,cat,,,presence,,,,,38.2,212,,,,,,,,
Franco,2014,2835,1,,,,,,,age,,,,cont,,years,,,,,,,10,,mean,75.4,SD,10.23,,,
Franco,2014,2835,1,,,,,,,education,,,,cont,,years,,,,,,,10,,mean,4.9,SD,4.84,,,
Franco,2014,2835,1,,,,,,,cognition,,MMSE,,cont,,score,,,,,,,10,,mean,21.2,SD,5.69,,,
Franco,2014,2835,1,,,,,,,sex,,,,cat,,,male,,,4,,,10,,,,,,,,
Franco,2014,2835,1,,,,,,,sex,,,,cat,,,female,,,6,,,10,,,,,,,,
Franco,2014,2835,1,,,,,,,active occupational status,,,,cat,,,active,,,6,,,10,,,,,,,,
Franco,2014,2835,1,,,,,,,inactive occupational status,,,,cat,,,inactive,,,4,,,10,,,,,,,,
Franco,2014,2835,1,,,,,,,cognitive impairment,,Cog impairment on admission according to MMSE,,cat,,,,21 to 26,,7,,,10,,,,,,,,
Franco,2014,2835,,1,,,,,,age,,,,cont,,years,,,,,,,13,,mean,78.8,SD,7.7,,,
Franco,2014,2835,,1,,,,,,education,,,,cont,,years,,,,,,,13,,mean,4.2,SD,2.42,,,
Franco,2014,2835,,1,,,,,,cognition,,MMSE,,cont,,score,,,,,,,13,,mean,20.9,SD,4.07,,,
Franco,2014,2835,,1,,,,,,sex,,,,cat,,,male,,,5,,,13,,,,,,,,
Franco,2014,2835,,1,,,,,,sex,,,,cat,,,female,,,8,,,13,,,,,,,,
Franco,2014,2835,,1,,,,,,active occupational status,,,,cat,,,active,,,4,,,13,,,,,,,,
Franco,2014,2835,,1,,,,,,inactive occupational status,,,,cat,,,inactive,,,9,,,13,,,,,,,,
Franco,2014,2835,,1,,,,,,cognitive impairment,,Cog impairment on admission according to MMSE,,cat,,,,21 to 26,,7,,,13,,,,,,,,
Franco,2014,2835,,,1,,,,,age,,,,cont,,years,,,,,,,11,,mean,81.8,SD,8.56,,,
Franco,2014,2835,,,1,,,,,education,,,,cont,,years,,,,,,,11,,mean,3.7,SD,2.9,,,
Franco,2014,2835,,,1,,,,,cognition,,MMSE,,cont,,score,,,,,,,11,,mean,19.5,SD,5.66,,,
Franco,2014,2835,,,1,,,,,sex,,,,cat,,,male,,,4,,,11,,,,,,,,
Franco,2014,2835,,,1,,,,,sex,,,,cat,,,female,,,7,,,11,,,,,,,,
Franco,2014,2835,,,1,,,,,active occupational status,,,,cat,,,active,,,6,,,11,,,,,,,,
Franco,2014,2835,,,1,,,,,inactive occupational status,,,,cat,,,inactive,,,5,,,11,,,,,,,,
Franco,2014,2835,,,1,,,,,cognitive impairment,,Cog impairment on admission according to MMSE,,cat,,,,21 to 26,,5,,,11,,,,,,,,
Rawle,2020,1495,,1,,,,,residential status,community,,,,cat,,,,,,17,,,43,,,,,,,,
Rawle,2020,1495,,1,,,,,residential status,care home,,,,cat,,,,,,26,,,43,,,,,,,,
Rawle,2020,1495,1,,,,,,residential status,community,,,,cat,,,,,,6,,,13,,,,,,,,
Rawle,2020,1495,1,,,,,,residential status,care home,,,,cat,,,,,,7,,,13,,,,,,,,
Boettger,2011c,3626,,1,,,,,,age,,,,cont,,years,,,,,,,53,,mean,60.7,SD,17.77,range,26,89
Boettger,2011c,3626,,,,,,1,,age,,,,cont,,years,,,,,,,47,,mean,55.9,SD,15.21,range,19,84
Boettger,2011c,3626,,1,,,,,,sex,,,,cat,,,male,,,,,54.7,53,,,,,,,,
Boettger,2011c,3626,,,,,,1,,sex,,,,cat,,,male,,,,,46.8,47,,,,,,,,
Boettger,2011a,3627,1,,,,,,,age,,,,cont,,years,,,,,,,12,,mean,72.5,SD,13.4,range,36,85
Boettger,2011a,3627,,1,,,,,,age,,,,cont,,years,,,,,,,9,,mean,65.8,SD,8.7,range,46,76
Boettger,2014,3621,,1,,,,,,age,,,,cont,,years,,,,,,,49,,mean,64.9,SD,12.6,range,29,89
Boettger,2014,3621,,1,,,,,,sex,,,,cat,,,male,,,,,53.9,49,,,,,,,,
Boettger,2014,3621,,1,,,,,,dementia,,,,cat,,,presence,,,,,14.3,49,,,,,,,,
Boettger,2014,3621,,1,,,,,,brain metastasis,,,,cat,,,presence,,,,,12.2,49,,,,,,,,
Boettger,2014,3621,1,,,,,,,age,,,,cont,,years,,,,,,,62,,mean,66.1,SD,14.5,range,23,85
Boettger,2014,3621,1,,,,,,,sex,,,,cat,,,male,,,,,62.9,62,,,,,,,,
Boettger,2014,3621,1,,,,,,,dementia,,,,cat,,,presence,,,,,24.2,62,,,,,,,,
Boettger,2014,3621,1,,,,,,,brain metastasis,,,,cat,,,presence,,,,,6.5,62,,,,,,,,
Boettger,2017,3619,,1,,,,,,age,,,,cont,,years,,,,,,,38,,mean,76,SD,9.8,range,39.1,90.6
Boettger,2017,3619,,1,,,,,,sex,,,,cat,,,male,,,,,71.1,38,,,,,,,,
Boettger,2017,3619,,1,,,,,comorbidity,cardiac disease,,,,cat,,,presence,,,,,39.5,38,,,,,,,,
Boettger,2017,3619,,1,,,,,psychiatric disorder,cognitive,including dementias,,,cat,,,presence,,,,,10.5,38,,,,,,,,
Boettger,2017,3619,,1,,,,,psychiatric disorder,addictive,,,,cat,,,presence,,,,,5.3,38,,,,,,,,
Boettger,2017,3619,,1,,,,,psychiatric disorder,psychotic,,,,cat,,,presence,,,,,0,38,,,,,,,,
Boettger,2017,3619,,1,,,,,psychiatric disorder,affective,,,,cat,,,presence,,,,,10.5,38,,,,,,,,
Boettger,2017,3619,,1,,,,,psychiatric disorder,other psychiatric disorder,,,,cat,,,presence,,,,,5.3,38,,,,,,,,
Boettger,2017,3619,1,,,,,,,age,,,,cont,,years,,,,,,,11,,mean,71.1,SD,11.8,range,41.7,85.3
Boettger,2017,3619,1,,,,,,,sex,,,,cat,,,male,,,,,63.6,11,,,,,,,,
Boettger,2017,3619,1,,,,,,comorbidity,cardiac disease,,,,cat,,,presence,,,,,54.5,11,,,,,,,,
Boettger,2017,3619,1,,,,,,psychiatric disorder,cognitive,including dementias,,,cat,,,presence,,,,,9.1,11,,,,,,,,
Boettger,2017,3619,1,,,,,,psychiatric disorder,addictive,,,,cat,,,presence,,,,,9.1,11,,,,,,,,
Boettger,2017,3619,1,,,,,,psychiatric disorder,psychotic,,,,cat,,,presence,,,,,0,11,,,,,,,,
Boettger,2017,3619,1,,,,,,psychiatric disorder,affective,,,,cat,,,presence,,,,,0,11,,,,,,,,
Boettger,2017,3619,1,,,,,,psychiatric disorder,other psychiatric disorder,,,,cat,,,presence,,,,,0,11,,,,,,,,
Boettger,2017,3619,,,1,,,,,age,,,,cont,,years,,,,,,,42,,mean,73.9,SD,11,range,50.2,95.1
Boettger,2017,3619,,,1,,,,,sex,,,,cat,,,male,,,,,69,42,,,,,,,,
Boettger,2017,3619,,,1,,,,comorbidity,cardiac disease,,,,cat,,,presence,,,,,33.3,42,,,,,,,,
Boettger,2017,3619,,,1,,,,psychiatric disorder,cognitive,including dementias,,,cat,,,presence,,,,,19,42,,,,,,,,
Boettger,2017,3619,,,1,,,,psychiatric disorder,addictive,,,,cat,,,presence,,,,,9.5,42,,,,,,,,
Boettger,2017,3619,,,1,,,,psychiatric disorder,psychotic,,,,cat,,,presence,,,,,0,42,,,,,,,,
Boettger,2017,3619,,,1,,,,psychiatric disorder,affective,,,,cat,,,presence,,,,,4.8,42,,,,,,,,
Boettger,2017,3619,,,1,,,,psychiatric disorder,other psychiatric disorder,,,,cat,,,presence,,,,,0,42,,,,,,,,
Boettger,2011b,3623,,1,,,,,,age,,,,cont,,years,,,,,,,50,,mean,64.8,SD,12.5,range,29,89
Boettger,2011b,3623,,1,,,,,,dementia,previous dementia,,,cat,,,presence,,,,,14,50,,,,,,,,
Boettger,2011b,3623,1,,,,,,,age,,,,cont,,years,,,,,,,61,,mean,66.2,SD,14.6,range,23,85
Boettger,2011b,3623,1,,,,,,,dementia,previous dementia,,,cat,,,presence,,,,,25,61,,,,,,,,
Evensen,2019a,2957,1,,,,,,,age,,,,cont,,years,,,,,,,15,,mean,86.3,SD,6.3,,,
Evensen,2019a,2957,1,,,,,,functional status,personal ADL,0 to 20,Function Barthel Index Score,,cont,positive,score,,,,,,,15,,mean,16.3,SD,3.3,,,
Evensen,2019a,2957,1,,,,,,,cognition,1 to 7,Global Deterioration Scale,,cont,,score,,,,,,,15,,mean,4.5,SD,1.5,,,
Evensen,2019a,2957,1,,,,,,,physical function,0 to 12,Short Physical Performance Battery,,cont,,score,,,,,,,15,,mean,4.2,SD,3.8,,,
Evensen,2019a,2957,1,,,,,,medicine,drugs on admittance,,,,cont,,number,,,,,,,15,,mean,6.1,SD,4,,,
Evensen,2019a,2957,1,,,,,,risk score,APACHE II,0 to 71,Acute Illness APACHE II,,cont,,score,,,,,,,15,,mean,8.5,SD,1.9,,,
Evensen,2019a,2957,1,,,,,,risk score,CIRS,0 to 56,Comorbidity CIRS ( Cumulative Illness Rating Scale),,cont,,score,,,,,,,15,,mean,14.6,SD,4.6,,,
Evensen,2019a,2957,1,,,,,,,bmi,kg/m^2,,,cont,,kg/m^2,,,,,,,15,,mean,24.8,SD,2.3,,,
Evensen,2019a,2957,1,,,,,,,sex,,,,cat,,,female,,,8,,,15,,,,,,,,
Evensen,2019a,2957,1,,,,,,residential status,living at home,,,,cat,,,presence,,,12,,,15,,,,,,,,
Evensen,2019a,2957,1,,,,,,comorbidity,dementia,GDS>=4,Global Deterioration Scale,,cat,,,presence,,,10,,,15,,,,,,,,
Evensen,2019a,2957,,1,,,,,,age,,,,cont,,years,,,,,,,20,,mean,85.5,SD,4.4,,,
Evensen,2019a,2957,,1,,,,,functional status,personal ADL,0 to 20,Function Barthel Index Score,,cont,positive,score,,,,,,,20,,mean,14.2,SD,4.6,,,
Evensen,2019a,2957,,1,,,,,,cognition,1 to 7,Global Deterioration Scale,,cont,,score,,,,,,,20,,mean,4.1,SD,1.1,,,
Evensen,2019a,2957,,1,,,,,,physical function,0 to 12,Short Physical Performance Battery,,cont,,score,,,,,,,20,,mean,1.2,SD,1.5,,,
Evensen,2019a,2957,,1,,,,,medicine,drugs on admittance,,,,cont,,number,,,,,,,20,,mean,6.8,SD,2.8,,,
Evensen,2019a,2957,,1,,,,,risk score,APACHE II,0 to 71,Acute Illness APACHE II,,cont,,score,,,,,,,20,,mean,10,SD,3.6,,,
Evensen,2019a,2957,,1,,,,,risk score,CIRS,0 to 56,Comorbidity CIRS ( Cumulative Illness Rating Scale),,cont,,score,,,,,,,20,,mean,16,SD,4.5,,,
Evensen,2019a,2957,,1,,,,,,BMI,kg/m^2,,,cont,,kg/m^2,,,,,,,20,,mean,23.6,SD,3.8,,,
Evensen,2019a,2957,,1,,,,,,sex,,,,cat,,,female,,,8,,,20,,,,,,,,
Evensen,2019a,2957,,1,,,,,residential status,living at home,,,,cat,,,presence,,,18,,,20,,,,,,,,
Evensen,2019a,2957,,1,,,,,comorbidity,dementia,GDS>=4,Global Deterioration Scale,,cat,,,presence,,,15,,,20,,,,,,,,
Evensen,2019a,2957,,,1,,,,,age,,,,cont,,years,,,,,,,17,,mean,88.7,SD,4.7,,,
Evensen,2019a,2957,,,1,,,,functional status,personal ADL,0 to 20,Function Barthel Index Score,,cont,positive,score,,,,,,,17,,mean,15.8,SD,2.8,,,
Evensen,2019a,2957,,,1,,,,,cognition,1 to 7,Global Deterioration Scale,,cont,,score,,,,,,,17,,mean,4,SD,1.4,,,
Evensen,2019a,2957,,,1,,,,,physical function,0 to 12,Short Physical Performance Battery,,cont,,score,,,,,,,17,,mean,2.1,SD,2.9,,,
Evensen,2019a,2957,,,1,,,,medicine,drugs on admittance,,,,cont,,number,,,,,,,17,,mean,6.9,SD,3.5,,,
Evensen,2019a,2957,,,1,,,,risk score,APACHE II,0 to 71,Acute Illness APACHE II,,cont,,score,,,,,,,17,,mean,9.5,SD,2.5,,,
Evensen,2019a,2957,,,1,,,,risk score,CIRS,0 to 56,Comorbidity CIRS ( Cumulative Illness Rating Scale),,cont,,score,,,,,,,17,,mean,14.9,SD,4.5,,,
Evensen,2019a,2957,,,1,,,,,BMI,kg/m^2,,,cont,,kg/m^2,,,,,,,17,,mean,23.3,SD,3.9,,,
Evensen,2019a,2957,,,1,,,,,sex,,,,cat,,,female,,,10,,,17,,,,,,,,
Evensen,2019a,2957,,,1,,,,residential status,living at home,,,,cat,,,presence,,,17,,,17,,,,,,,,
Evensen,2019a,2957,,,1,,,,comorbidity,dementia,GDS>=4,Global Deterioration Scale,,cat,,,presence,,,13,,,17,,,,,,,,
Evensen,2019a,2957,,,,1,,,,age,,,,cont,,years,,,,,,,8,,mean,86.1,SD,5.8,,,
Evensen,2019a,2957,,,,1,,,functional status,personal ADL,0 to 20,Function Barthel Index Score,,cont,positive,score,,,,,,,8,,mean,16.5,SD,4.1,,,
Evensen,2019a,2957,,,,1,,,,cognition,1 to 7,Global Deterioration Scale,,cont,,score,,,,,,,8,,mean,3.8,SD,1,,,
Evensen,2019a,2957,,,,1,,,,physical function,0 to 12,Short Physical Performance Battery,,cont,,score,,,,,,,8,,mean,5.1,SD,3,,,
Evensen,2019a,2957,,,,1,,,medicine,drugs on admittance,,,,cont,,number,,,,,,,8,,mean,5.5,SD,2.3,,,
Evensen,2019a,2957,,,,1,,,risk score,APACHE II,0 to 71,Acute Illness APACHE II,,cont,,score,,,,,,,8,,mean,9.6,SD,2.4,,,
Evensen,2019a,2957,,,,1,,,risk score,CIRS,0 to 56,Comorbidity CIRS ( Cumulative Illness Rating Scale),,cont,,score,,,,,,,8,,mean,14.8,SD,4.6,,,
Evensen,2019a,2957,,,,1,,,,BMI,kg/m^2,,,cont,,kg/m^2,,,,,,,8,,mean,21.6,SD,4.5,,,
Evensen,2019a,2957,,,,1,,,,sex,,,,cat,,,female,,,5,,,8,,,,,,,,
Evensen,2019a,2957,,,,1,,,residential status,living at home,,,,cat,,,presence,,,8,,,8,,,,,,,,
Evensen,2019a,2957,,,,1,,,comorbidity,dementia,GDS>=4,Global Deterioration Scale,,cat,,,presence,,,5,,,8,,,,,,,,
Bui,2017,3481,,,,,,1,,age,,,,cont,,years,,,,,,,253,,mean,64,SD,15,,,
Bui,2017,3481,,,,,,1,,sex,,,,cat,,,male,,,129,,,253,,,,,,,,
Bui,2017,3481,,,,,,1,race,caucasian,,,,cat,,,presence,,,155,,,253,,,,,,,,
Bui,2017,3481,,,,,,1,race,african american,,,,cat,,,presence,,,32,,,253,,,,,,,,
Bui,2017,3481,,,,,,1,race,other race,,,,cat,,,presence,,,66,,,253,,,,,,,,
Bui,2017,3481,,,,,,1,comorbidity,dementia,,,,cat,,,presence,,,29,,,253,,,,,,,,
Bui,2017,3481,,,,,,1,comorbidity,dialysis,,,,cat,,,presence,,,79,,,253,,,,,,,,
Bui,2017,3481,,1,,,,,,age,,,,cont,,years,,,,,,,170,,mean,65,SD,16,,,
Bui,2017,3481,,1,,,,,,sex,,,,cat,,,male,,,85,,,170,,,,,,,,
Bui,2017,3481,,1,,,,,race,caucasian,,,,cat,,,presence,,,89,,,170,,,,,,,,
Bui,2017,3481,,1,,,,,race,african american,,,,cat,,,presence,,,36,,,170,,,,,,,,
Bui,2017,3481,,1,,,,,race,other race,,,,cat,,,presence,,,45,,,170,,,,,,,,
Bui,2017,3481,,1,,,,,comorbidity,dementia,,,,cat,,,presence,,,20,,,170,,,,,,,,
Bui,2017,3481,,1,,,,,comorbidity,dialysis,,,,cat,,,presence,,,32,,,170,,,,,,,,
Camus,2000,3449,1,,,,,,,age,,,,cont,,years,,,,,,,85,,mean,83.9,SD,5.9,,,
Camus,2000,3449,1,,,,,,,sex,,,,cat,,,male,,,24,,,85,,,,,,,,
Camus,2000,3449,,1,,,,,,age,,,,cont,,years,,,,,,,48,,mean,83.3,SD,6.1,,,
Camus,2000,3449,,1,,,,,,sex,,,,cat,,,male,,,20,,,48,,,,,,,,
Camus,2000,3449,,,1,,,,,age,,,,cont,,years,,,,,,,50,,mean,85,SD,5.9,,,
Camus,2000,3449,,,1,,,,,sex,,,,cat,,,male,,,19,,,50,,,,,,,,
Canuet,2008,2184,1,,,,,,,sex,,,,cat,,,male,,,8,,,22,,,,,,,,
